trial,method,matrix_type,signal_type,coherence_strength,n,m,k,m_over_n,k_over_m,noise_std,nrmse,precision,recall,f1,exact_support
31,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.34186765589539586,0.6724137931034483,0.6724137931034483,0.6724137931034483,0
32,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.635720935863699,0.46551724137931033,0.46551724137931033,0.46551724137931033,0
32,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6313526499699293,0.46551724137931033,0.46551724137931033,0.46551724137931033,0
32,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.662255639577487,0.5,0.5,0.5,0
32,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6022041746129613,0.4827586206896552,0.4827586206896552,0.4827586206896552,0
33,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7439276499575559,0.46551724137931033,0.46551724137931033,0.46551724137931033,0
33,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.747918086503866,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
33,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6769968978846261,0.4827586206896552,0.4827586206896552,0.4827586206896552,0
33,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7083489721152237,0.4827586206896552,0.4827586206896552,0.4827586206896552,0
34,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6375468594237748,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
34,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6304709737265487,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
34,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5558541361866336,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
34,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5378366240890133,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
35,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,1.0129758173950134,0.3448275862068966,0.3448275862068966,0.3448275862068966,0
35,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,1.2277438888339134,0.27586206896551724,0.27586206896551724,0.27586206896551724,0
35,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,1.0904542743571284,0.3448275862068966,0.3448275862068966,0.3448275862068966,0
35,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.9937688741228137,0.3275862068965517,0.3275862068965517,0.3275862068965517,0
36,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6501400903915361,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
36,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7544269492846934,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
36,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5814871482730737,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
36,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6046058432845085,0.603448275862069,0.603448275862069,0.603448275862069,0
37,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3608859293015814,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
37,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.45771063311123966,0.5689655172413793,0.5689655172413793,0.5689655172413793,0
37,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3208225530633355,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
37,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.33760474481528685,0.6551724137931034,0.6551724137931034,0.6551724137931034,0
38,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7311670783301512,0.4482758620689655,0.4482758620689655,0.4482758620689655,0
38,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7220041380709172,0.4482758620689655,0.4482758620689655,0.4482758620689655,0
38,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6318302747232857,0.5517241379310345,0.5517241379310345,0.5517241379310345,0
38,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6772455067888442,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
39,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7321301083617824,0.39655172413793105,0.39655172413793105,0.39655172413793105,0
39,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6895947747600703,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
39,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7226699714539623,0.41379310344827586,0.41379310344827586,0.41379310344827586,0
39,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7008911503071167,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
40,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4171483158928805,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
40,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.43451160600713556,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
40,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.580619680174807,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
40,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4325744391050941,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
41,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.2932620616907396,0.6724137931034483,0.6724137931034483,0.6724137931034483,0
41,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3571686455698565,0.603448275862069,0.603448275862069,0.603448275862069,0
41,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.28873867533125863,0.6724137931034483,0.6724137931034483,0.6724137931034483,0
41,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.2583412377488046,0.6724137931034483,0.6724137931034483,0.6724137931034483,0
42,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4640677883609359,0.603448275862069,0.603448275862069,0.603448275862069,0
42,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.4894013121880877,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
42,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5109309340043484,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
