trial,matrix_type,n,m,k,m_over_n,k_over_m,noise_std,method,nrmse,precision,recall,f1,exact_support
12,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.1978666989000328,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
13,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.47368814678895665,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
13,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.6797018830850561,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
13,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.35582061152025446,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
13,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.48639814900944284,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
13,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.2436914676435398,0.75,0.75,0.75,0
13,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.24203009245886956,0.75,0.75,0.75,0
13,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.2368748892950738,0.75,0.75,0.75,0
14,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5020919535061796,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
14,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5079567106122881,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
14,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.4925882705098238,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
14,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.31080721091302665,0.75,0.75,0.75,0
14,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.2866729325380399,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
14,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.2500862986135272,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
14,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.25008629861352716,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
15,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.663113506250521,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
15,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.603793435490773,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
15,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.49612964567534007,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
15,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.3557944725755446,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
15,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.21427518683063287,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
15,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.2035084145494793,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
15,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.20448208145614702,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
16,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5069079011737072,0.375,0.375,0.375,0
16,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.42449848245791955,0.5,0.5,0.5,0
16,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.5091784002414474,0.5,0.5,0.5,0
16,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.26979403814462566,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
16,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.2634157134102721,0.75,0.75,0.75,0
16,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.38735286493391147,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
16,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.3857026280160728,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
17,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5035331680264296,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
17,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.2772497342209881,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
17,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.2562989653546857,0.625,0.625,0.625,0
17,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.3534648545850827,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
17,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.30866507216019984,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
17,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.3234400042232206,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
17,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.32344000422322006,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
18,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5543121132012487,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
18,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.48745526585878823,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
18,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.22885209145958346,0.625,0.625,0.625,0
18,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.2331620310661218,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
18,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.23940512231162658,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
18,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.19446164713260788,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
18,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.194461647132608,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
19,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6474723539849903,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
19,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.6102996624663135,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
19,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.4360199620284189,0.625,0.625,0.625,0
19,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.1722854274893301,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
19,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.22281012720706425,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
19,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.21204956917633172,0.875,0.875,0.875,0
19,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.21204956917633222,0.875,0.875,0.875,0
20,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6906777245694373,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
20,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5441536046685027,0.625,0.625,0.625,0
20,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.38974131385214317,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
20,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.27768019418160006,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
20,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.5788832697917788,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
20,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.2795286994384471,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
20,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.27703478079092064,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
21,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5395377525119254,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
21,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.567183625682465,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
21,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.26114390631027845,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
21,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.23662668279442647,0.75,0.75,0.75,0
21,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.2334839998396855,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
21,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.2425282396768117,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
21,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.23740364086749613,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
22,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5879744410703336,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
22,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.37822226279293314,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
22,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.2857222529279621,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
22,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.3589763743451099,0.625,0.625,0.625,0
22,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.2180841486423404,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
22,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.2281926147180414,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
22,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.20784163155116808,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
