trial,omp_nrmse,union_nrmse,nrmse_gain,omp_f1,union_f1,f1_gain,num_missed_by_omp,num_missed_recovered_by_learned,num_missed_recovered_by_union,num_false_omp_removed
137,0.473094366426646,0.38860748373638654,0.08448688269025945,0.5862068965517241,0.6206896551724138,0.034482758620689724,24,5,2,4
138,0.4300553090672143,0.42033429878705086,0.009721010280163422,0.5862068965517241,0.6206896551724138,0.034482758620689724,24,5,3,10
139,0.2653654841606137,0.32050254270437295,-0.055137058543759276,0.6206896551724138,0.5862068965517241,-0.034482758620689724,22,0,0,5
140,0.7001725195063295,0.6425433097383549,0.05762920976797459,0.5,0.5517241379310345,0.051724137931034475,29,8,5,5
141,0.95702608499106,0.7454734500894697,0.21155263490159026,0.3793103448275862,0.46551724137931033,0.08620689655172414,36,12,6,8
142,0.23547807209252153,0.23494592957539703,0.0005321425171244953,0.7068965517241379,0.7068965517241379,0.0,17,2,0,4
143,0.7378446326806898,0.6820636121295525,0.05578102055113732,0.4482758620689655,0.4827586206896552,0.03448275862068967,32,3,3,12
144,0.6913544852927929,0.6663938073875681,0.024960677905224715,0.4482758620689655,0.46551724137931033,0.017241379310344807,32,7,2,7
145,0.6014176032464028,0.5367227380625763,0.0646948651838265,0.5517241379310345,0.5862068965517241,0.03448275862068961,26,8,3,8
146,0.7574985568769559,0.7214558682633285,0.03604268861362736,0.4827586206896552,0.5172413793103449,0.03448275862068967,30,8,3,7
147,0.5215056628914375,0.43301900309160796,0.08848665979982956,0.5517241379310345,0.603448275862069,0.051724137931034475,26,6,3,6
148,0.22928568967265903,0.2264477210973071,0.002837968575351929,0.6551724137931034,0.6551724137931034,0.0,20,1,0,6
149,0.4549454484385513,0.4208606506851898,0.034084797753361484,0.6724137931034483,0.6724137931034483,0.0,19,4,3,5
150,0.7061487624301034,0.73321877058221,-0.027070008152106584,0.4482758620689655,0.4827586206896552,0.03448275862068967,32,10,4,7
151,0.6108538723334922,0.5445303195787073,0.06632355275478485,0.4827586206896552,0.5344827586206896,0.05172413793103442,30,9,3,6
152,0.5976102796075227,0.5699777354254371,0.027632544182085605,0.43103448275862066,0.4482758620689655,0.017241379310344862,33,8,2,5
153,0.6136284267162154,0.6029098681906571,0.010718558525558364,0.4827586206896552,0.4827586206896552,0.0,30,7,2,5
154,0.4655003716440332,0.4406764937358656,0.02482387790816759,0.5862068965517241,0.5862068965517241,0.0,24,4,1,6
155,0.4733883552692013,0.5068576915208408,-0.0334693362516395,0.5344827586206896,0.5344827586206896,0.0,27,4,2,6
156,0.5529943964052917,0.48616033178718876,0.06683406461810293,0.5344827586206896,0.5517241379310345,0.017241379310344862,27,8,2,6
157,0.5892606249172481,0.5279128985384097,0.06134772637883834,0.5344827586206896,0.5862068965517241,0.051724137931034475,27,7,3,9
158,0.7509149855383902,0.7375022831127127,0.013412702425677492,0.43103448275862066,0.46551724137931033,0.03448275862068967,33,5,2,4
159,0.9927078819351228,0.857389551892569,0.13531833004255378,0.41379310344827586,0.46551724137931033,0.051724137931034475,34,12,6,10
160,0.6349298963335197,0.5895749728750904,0.045354923458429286,0.5,0.5344827586206896,0.03448275862068961,29,6,2,7
161,0.3877621073413324,0.3690440155779776,0.01871809176335476,0.603448275862069,0.6379310344827587,0.034482758620689724,23,4,3,8
162,0.43632054850730817,0.3749850961216271,0.061335452385681055,0.603448275862069,0.6379310344827587,0.034482758620689724,23,5,2,5
163,0.7739361779383479,0.786307173146651,-0.012370995208303093,0.5172413793103449,0.5,-0.017241379310344862,28,5,1,3
164,0.5213138708130917,0.5013816209402205,0.01993224987287112,0.5172413793103449,0.5689655172413793,0.051724137931034475,28,5,3,8
165,0.7134854225809595,0.6496139930780631,0.06387142950289637,0.46551724137931033,0.4827586206896552,0.017241379310344862,31,9,3,9
166,0.549627813953919,0.5401614834748124,0.00946633047910661,0.5689655172413793,0.5862068965517241,0.01724137931034475,25,2,1,4
167,0.6875280915134504,0.5435086972204792,0.14401939429297117,0.5517241379310345,0.6206896551724138,0.06896551724137934,26,9,5,9
168,0.42949997407334756,0.41994618722807425,0.009553786845273304,0.5517241379310345,0.5862068965517241,0.03448275862068961,26,5,2,8
169,0.7323654195636352,0.719247906712727,0.01311751285090823,0.4827586206896552,0.4827586206896552,0.0,30,9,2,9
170,0.5266496475645643,0.5169886535538281,0.009660994010736279,0.5172413793103449,0.5344827586206896,0.01724137931034475,28,6,2,6
171,0.4736205226432543,0.462620655808985,0.010999866834269345,0.5689655172413793,0.603448275862069,0.03448275862068961,25,5,2,9
172,0.6240872941081996,0.620481542905729,0.0036057512024706417,0.4827586206896552,0.5,0.017241379310344807,30,6,2,6
173,0.5244567657963504,0.5247189804682076,-0.00026221467185727487,0.5,0.5,0.0,29,4,0,7
174,0.917743339557419,0.8566205307261489,0.06112280883127019,0.4482758620689655,0.41379310344827586,-0.03448275862068967,32,8,2,4
175,0.6242649869414763,0.6312824958456007,-0.007017508904124448,0.5172413793103449,0.5344827586206896,0.01724137931034475,28,5,1,8
176,0.7841820594052252,0.7697786433715116,0.014403416033713645,0.3793103448275862,0.41379310344827586,0.03448275862068967,36,9,3,8
177,0.5145426430473977,0.5352936217101176,-0.02075097866271991,0.5172413793103449,0.5172413793103449,0.0,28,6,1,5
178,0.3823420421321317,0.4112623337931075,-0.028920291660975816,0.6379310344827587,0.5689655172413793,-0.06896551724137934,21,2,0,4
179,0.7732626702791744,0.7931156978720415,-0.019853027592867112,0.39655172413793105,0.41379310344827586,0.017241379310344807,35,11,2,7
180,0.829956073130832,0.7999470040426656,0.030009069088166362,0.39655172413793105,0.43103448275862066,0.03448275862068961,35,8,2,8
181,0.45125679770539445,0.47407041575863523,-0.02281361805324078,0.5689655172413793,0.5862068965517241,0.01724137931034475,25,3,2,8
182,0.8755958155088462,0.6300675879986747,0.24552822751017156,0.4482758620689655,0.5344827586206896,0.08620689655172409,32,12,8,10
183,0.6608021067876865,0.5294427975825209,0.1313593092051656,0.4827586206896552,0.5344827586206896,0.05172413793103442,30,6,4,8
184,0.45539089833093566,0.4419786191946506,0.013412279136285066,0.5862068965517241,0.6206896551724138,0.034482758620689724,24,5,2,5
185,0.961631316810139,0.8848267263658076,0.07680459044433141,0.3793103448275862,0.41379310344827586,0.03448275862068967,36,11,3,6
186,0.4240233199472982,0.4347372634197015,-0.010713943472403287,0.603448275862069,0.5689655172413793,-0.03448275862068961,23,0,0,2
187,0.6240980978392195,0.5946085824256483,0.029489515413571254,0.5,0.5517241379310345,0.051724137931034475,29,5,3,9
188,0.41497418150778626,0.4244492891887102,-0.009475107680923966,0.603448275862069,0.5689655172413793,-0.03448275862068961,23,0,0,4
189,0.5101702470958697,0.48859988656202774,0.021570360533841926,0.603448275862069,0.603448275862069,0.0,23,6,2,6
190,0.5824646915125419,0.5719984910325727,0.010466200479969157,0.5172413793103449,0.5344827586206896,0.01724137931034475,28,5,1,6
191,0.6987643611208091,0.6687511542230911,0.030013206897718026,0.5,0.5172413793103449,0.017241379310344862,29,7,2,6
192,0.6960084415515498,0.5604106997196242,0.13559774183192563,0.4827586206896552,0.5517241379310345,0.06896551724137928,30,9,5,7
193,0.5155230151199521,0.5003817822183588,0.015141232901593304,0.5689655172413793,0.5862068965517241,0.01724137931034475,25,3,1,6
194,0.43619684870952863,0.492243644601563,-0.05604679589203437,0.6379310344827587,0.6206896551724138,-0.017241379310344862,21,3,1,10
195,0.6498452988117694,0.6035485608117211,0.0462967380000483,0.5344827586206896,0.5689655172413793,0.034482758620689724,27,7,4,5
196,0.6631753875323734,0.6709778511466984,-0.007802463614325017,0.4827586206896552,0.5,0.017241379310344807,30,7,2,4
197,0.9131837784137021,0.8808674669429045,0.03231631147079761,0.36206896551724144,0.41379310344827586,0.05172413793103442,37,8,3,7
198,0.38594053767278463,0.38340204596031674,0.002538491712467894,0.5862068965517241,0.6206896551724138,0.034482758620689724,24,7,3,5
199,0.521069327520192,0.5881175235147502,-0.06704819599455825,0.5,0.4482758620689655,-0.051724137931034475,29,3,0,6
