trial,matrix_type,n,m,k,m_over_n,k_over_m,noise_std,method,nrmse,precision,recall,f1,exact_support
12,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5949820658743785,0.5,0.5,0.5,0
12,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.01080686860284453,1.0,1.0,1.0,1
12,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.01080686860284469,1.0,1.0,1.0,1
12,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.010806868602845184,1.0,1.0,1.0,1
12,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.010806868602845054,1.0,1.0,1.0,1
13,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6396381578779271,0.375,0.375,0.375,0
13,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5352715481590541,0.5,0.5,0.5,0
13,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.017934519771760193,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
13,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.017691294481987502,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
13,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.021407570660323033,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
13,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.020219190696781665,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
14,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.3319792016178121,0.5,0.5,0.5,0
14,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.3731510860966773,0.5,0.5,0.5,0
14,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.007798412524733835,1.0,1.0,1.0,1
14,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.007798412524733835,1.0,1.0,1.0,1
14,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.007798412524734343,1.0,1.0,1.0,1
14,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.0077984125247343135,1.0,1.0,1.0,1
15,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5893258972078551,0.375,0.375,0.375,0
15,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.3860384409867415,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
15,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.017982566485413094,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
15,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.018314301637560072,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
15,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.021856679782014325,0.875,0.875,0.875,0
15,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.021591748503108837,0.875,0.875,0.875,0
16,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5352625981855519,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
16,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.3705264505527325,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
16,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.010888869956917246,1.0,1.0,1.0,1
16,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.010888869956917246,1.0,1.0,1.0,1
16,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.01088886995691793,1.0,1.0,1.0,1
16,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.010888869956916954,1.0,1.0,1.0,1
17,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5443172203475388,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
17,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.489422006000008,0.5,0.5,0.5,0
17,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.02805017090568879,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
17,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.013598427009856683,1.0,1.0,1.0,1
17,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.013598427009856228,1.0,1.0,1.0,1
17,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.013598427009856768,1.0,1.0,1.0,1
18,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5178004770999657,0.5,0.5,0.5,0
18,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.3709674896135794,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
18,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.014394635869601472,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
18,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.01295967504678466,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
18,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.01469062701142106,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
18,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.014690627011421811,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
19,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.31999328186009707,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
19,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.31169590799043373,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
19,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.01173060720571628,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
19,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.012933761410388735,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
19,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.014479325218989212,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
19,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.014479325218989526,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
20,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.47626916578261147,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
20,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.27451168662357606,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
20,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.025902473169834773,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
20,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.024462082872745025,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
20,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.014894074895198171,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
20,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.014894074895198499,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
21,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6613148081599809,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
21,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.6763169669254485,0.5,0.5,0.5,0
21,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.02125038879366179,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
21,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.022094712127875324,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
21,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.0727623252166872,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
21,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.05410449346992736,0.875,0.875,0.875,0
22,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.739439876989412,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
22,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4473743656639542,0.625,0.625,0.625,0
22,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.018021527122616808,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
22,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.01071022220854161,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
22,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.010274190320482064,1.0,1.0,1.0,1
22,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.01027419032048128,1.0,1.0,1.0,1
23,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.4784082344982585,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
23,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5784568638091411,0.5,0.5,0.5,0
23,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.018823344513969754,1.0,1.0,1.0,1
23,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.01882334451397004,1.0,1.0,1.0,1
23,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.41138392425154163,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
23,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.26845589535310604,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
24,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6588551710969371,0.375,0.375,0.375,0
24,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.6023864622503979,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
24,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.012055514255381733,1.0,1.0,1.0,1
24,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.01205551425538161,1.0,1.0,1.0,1
24,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.05782776478140418,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
24,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.05885048765955611,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
25,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.7139296275177198,0.375,0.375,0.375,0
25,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5473469935889687,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
25,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.01682185297823426,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
25,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.026023249168638254,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
25,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.01988242167051711,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
25,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.01988242167051633,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
26,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5750720884515379,0.375,0.375,0.375,0
26,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.3587772287445845,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
26,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.018501816217879177,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
26,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.0204433622826511,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
26,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.01871959462663395,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
26,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.018393227315004125,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
27,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.524905626481281,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
27,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5013860504770816,0.5,0.5,0.5,0
27,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.011621997684801101,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
27,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.01240337927608738,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
27,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.012403379276087376,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
27,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.01240337927608739,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
28,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5962723708378889,0.5,0.5,0.5,0
28,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5183611532092651,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
28,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.016562294627247235,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
28,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.016562294627247363,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
28,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.00909909311397856,1.0,1.0,1.0,1
28,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.009099093113978577,1.0,1.0,1.0,1
29,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5196808074656032,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
29,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.38877163655124186,0.5,0.5,0.5,0
29,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.009755028717869433,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
29,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.012503460925948296,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
29,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.012533760096240359,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
29,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.012533760096241046,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
30,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.425991329300375,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
30,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.2759921407503677,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
30,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.013612551864381353,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
30,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.018197506478786485,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
30,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.013300706485007316,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
30,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.013300706485007027,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
31,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5615065818620245,0.5,0.5,0.5,0
31,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4458301364943411,0.5,0.5,0.5,0
31,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.007529451871952131,1.0,1.0,1.0,1
31,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.007529451871952131,1.0,1.0,1.0,1
31,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.00752945187195184,1.0,1.0,1.0,1
31,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.007529451871952665,1.0,1.0,1.0,1
32,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.638262849664877,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
32,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.44832643232856134,0.625,0.625,0.625,0
32,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.020357637531473766,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
32,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.021163089664503903,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
32,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.0131369607057805,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
32,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.013136960705780333,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
33,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5446152042250164,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
33,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5097038921587334,0.5,0.5,0.5,0
33,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.014787050867983374,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
33,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.014935073794610327,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
33,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.011529031314183924,1.0,1.0,1.0,1
33,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.01152903131418438,1.0,1.0,1.0,1
34,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5217536198218159,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
34,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.339804097253306,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
34,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.009448895124788716,1.0,1.0,1.0,1
