trial,matrix_type,coherence_strength,n,m,k,m_over_n,k_over_m,noise_std,signal_type,method,nrmse,precision,recall,f1,exact_support
8,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.23884293140344373,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
8,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.5179900481041434,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
8,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.224565524614048,0.75,0.75,0.75,0
8,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.20090532939609182,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
9,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.794141152404664,0.25,0.25,0.25,0
9,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.45815458385088864,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
9,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.4798931879023099,0.5,0.5,0.5,0
9,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.17430136739200303,0.875,0.875,0.875,0
9,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.21547741408168755,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
9,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.3111235812057624,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
9,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.3032710295537913,0.75,0.75,0.75,0
10,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.7082453363949041,0.20833333333333334,0.20833333333333334,0.20833333333333334,0
10,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.4874238016456727,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
10,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.5770417590235412,0.375,0.375,0.375,0
10,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.23357338115069443,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
10,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.30480278659269183,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
10,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.2313365004877938,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
10,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.225770448022246,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
11,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.5084036613672027,0.375,0.375,0.375,0
11,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.5587378867105989,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
11,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.4894516445382287,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
11,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.283767059867934,0.75,0.75,0.75,0
11,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.3343844290696653,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
