trial,method,n,m,k,noise_std,matrix_type,nrmse,precision,recall,f1,exact_support
11,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6745370853791396,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
11,OMP,256,128,55,0.01,gaussian,0.5954099274162629,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
11,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.6182860750508621,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
11,CoSaMP,256,128,55,0.01,gaussian,0.4570837294860788,0.6545454545454545,0.6545454545454545,0.6545454545454545,0
12,CorrelationTopK,256,128,55,0.01,gaussian,0.7261850891913187,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
12,LearnedSupportMLP,256,128,55,0.01,gaussian,0.569340512578852,0.509090909090909,0.509090909090909,0.509090909090909,0
12,OMP,256,128,55,0.01,gaussian,0.2242448268881179,0.7272727272727273,0.7272727272727273,0.7272727272727273,0
12,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.2250130824091999,0.7272727272727273,0.7272727272727273,0.7272727272727273,0
12,CoSaMP,256,128,55,0.01,gaussian,0.4477320411168571,0.5636363636363636,0.5636363636363636,0.5636363636363636,0
13,CorrelationTopK,256,128,55,0.01,gaussian,0.5851247488976397,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
13,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5667507939627658,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
13,OMP,256,128,55,0.01,gaussian,0.014184945512069176,0.9636363636363636,0.9636363636363636,0.9636363636363636,0
13,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.015359672839477086,0.9636363636363636,0.9636363636363636,0.9636363636363636,0
13,CoSaMP,256,128,55,0.01,gaussian,0.4371556068238742,0.6181818181818182,0.6181818181818182,0.6181818181818182,0
14,CorrelationTopK,256,128,55,0.01,gaussian,0.7353374477933622,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
14,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6271328080522939,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
14,OMP,256,128,55,0.01,gaussian,0.28689546959668455,0.7454545454545455,0.7454545454545455,0.7454545454545455,0
14,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.2881586323488543,0.7454545454545455,0.7454545454545455,0.7454545454545455,0
14,CoSaMP,256,128,55,0.01,gaussian,0.435565532549269,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
15,CorrelationTopK,256,128,55,0.01,gaussian,0.7492837394834799,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
15,LearnedSupportMLP,256,128,55,0.01,gaussian,0.710231665006743,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
15,OMP,256,128,55,0.01,gaussian,0.6431600986146931,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
15,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.6394536242214504,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
15,CoSaMP,256,128,55,0.01,gaussian,0.638245311505513,0.509090909090909,0.509090909090909,0.509090909090909,0
16,CorrelationTopK,256,128,55,0.01,gaussian,0.709489743275848,0.36363636363636365,0.36363636363636365,0.36363636363636365,0
16,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6370704458283802,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
16,OMP,256,128,55,0.01,gaussian,0.020400632639609895,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
16,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.0205356513745407,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
16,CoSaMP,256,128,55,0.01,gaussian,0.49142107616136216,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
17,CorrelationTopK,256,128,55,0.01,gaussian,0.5647783597596867,0.509090909090909,0.509090909090909,0.509090909090909,0
17,LearnedSupportMLP,256,128,55,0.01,gaussian,0.666935810179123,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
17,OMP,256,128,55,0.01,gaussian,0.3576802604517818,0.6181818181818182,0.6181818181818182,0.6181818181818182,0
17,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.3450483425599013,0.6181818181818182,0.6181818181818182,0.6181818181818182,0
17,CoSaMP,256,128,55,0.01,gaussian,0.44263594435562764,0.6181818181818182,0.6181818181818182,0.6181818181818182,0
18,CorrelationTopK,256,128,55,0.01,gaussian,0.6495356788052576,0.4,0.4,0.4000000000000001,0
18,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5758907790446043,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
18,OMP,256,128,55,0.01,gaussian,0.017481966463783413,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
18,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.017432614529491044,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
18,CoSaMP,256,128,55,0.01,gaussian,0.39524703970212793,0.5636363636363636,0.5636363636363636,0.5636363636363636,0
19,CorrelationTopK,256,128,55,0.01,gaussian,0.566078867015526,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
19,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5007929763491773,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
19,OMP,256,128,55,0.01,gaussian,0.018606782708422098,0.9636363636363636,0.9636363636363636,0.9636363636363636,0
19,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.01891132113361761,0.9636363636363636,0.9636363636363636,0.9636363636363636,0
19,CoSaMP,256,128,55,0.01,gaussian,0.45071352548353977,0.6,0.6,0.6,0
20,CorrelationTopK,256,128,55,0.01,gaussian,0.6456095210231281,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
20,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5913059800597898,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
20,OMP,256,128,55,0.01,gaussian,0.028661028812789428,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
20,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.03051663983791836,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
20,CoSaMP,256,128,55,0.01,gaussian,0.557780253300747,0.509090909090909,0.509090909090909,0.509090909090909,0
21,CorrelationTopK,256,128,55,0.01,gaussian,0.4340405267005778,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
21,LearnedSupportMLP,256,128,55,0.01,gaussian,0.4616590018913197,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
21,OMP,256,128,55,0.01,gaussian,0.07711769870226239,0.8727272727272727,0.8727272727272727,0.8727272727272727,0
