method,n,m,k,noise_std,matrix_type,signal_type,nrmse,precision,recall,f1,exact_support,trial
CoSaMP,256,128,32,0.01,gaussian,compressible,0.18348347009385232,0.78125,0.78125,0.78125,0,7
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.21417461900800155,0.75,0.75,0.75,0,7
OMP,256,128,32,0.01,gaussian,compressible,0.16814022714452606,0.75,0.75,0.75,0,8
CoSaMP,256,128,32,0.01,gaussian,compressible,0.18619778292241687,0.71875,0.71875,0.71875,0,8
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.19938723049303078,0.78125,0.78125,0.78125,0,8
OMP,256,128,32,0.01,gaussian,compressible,0.14594654500912635,0.90625,0.90625,0.90625,0,9
CoSaMP,256,128,32,0.01,gaussian,compressible,0.16605928582872628,0.84375,0.84375,0.84375,0,9
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.2631906421349372,0.8125,0.8125,0.8125,0,9
OMP,256,128,32,0.01,gaussian,compressible,0.21502677107806265,0.78125,0.78125,0.78125,0,10
CoSaMP,256,128,32,0.01,gaussian,compressible,0.26002751197543283,0.71875,0.71875,0.71875,0,10
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.259593495583792,0.71875,0.71875,0.71875,0,10
OMP,256,128,32,0.01,gaussian,compressible,0.13179869016187923,0.9375,0.9375,0.9375,0,11
CoSaMP,256,128,32,0.01,gaussian,compressible,0.14509942321447636,0.90625,0.90625,0.90625,0,11
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.14187443830194438,0.9375,0.9375,0.9375,0,11
OMP,256,128,32,0.01,gaussian,compressible,0.18791300418206897,0.78125,0.78125,0.78125,0,12
CoSaMP,256,128,32,0.01,gaussian,compressible,0.16198879629542912,0.8125,0.8125,0.8125,0,12
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.16585688240094282,0.8125,0.8125,0.8125,0,12
OMP,256,128,32,0.01,gaussian,compressible,0.23097359487031863,0.75,0.75,0.75,0,13
CoSaMP,256,128,32,0.01,gaussian,compressible,0.23259057154341442,0.71875,0.71875,0.71875,0,13
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.21699420543390655,0.75,0.75,0.75,0,13
OMP,256,128,32,0.01,gaussian,compressible,0.1386384686663483,0.9375,0.9375,0.9375,0,14
CoSaMP,256,128,32,0.01,gaussian,compressible,0.14084920031700618,0.90625,0.90625,0.90625,0,14
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.31540238664069276,0.78125,0.78125,0.78125,0,14
OMP,256,128,32,0.01,gaussian,compressible,0.16044031328365943,0.8125,0.8125,0.8125,0,15
CoSaMP,256,128,32,0.01,gaussian,compressible,0.15582445130858175,0.8125,0.8125,0.8125,0,15
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.32121294679441936,0.71875,0.71875,0.71875,0,15
OMP,256,128,32,0.01,gaussian,compressible,0.2101908106517185,0.84375,0.84375,0.84375,0,16
CoSaMP,256,128,32,0.01,gaussian,compressible,0.20311810607813066,0.875,0.875,0.875,0,16
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.22622227829363137,0.875,0.875,0.875,0,16
OMP,256,128,32,0.01,gaussian,compressible,0.1450331159401636,0.875,0.875,0.875,0,17
CoSaMP,256,128,32,0.01,gaussian,compressible,0.1599944058614591,0.84375,0.84375,0.84375,0,17
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.20136748402337545,0.8125,0.8125,0.8125,0,17
OMP,256,128,32,0.01,gaussian,compressible,0.12729138504265686,0.875,0.875,0.875,0,18
CoSaMP,256,128,32,0.01,gaussian,compressible,0.13279435220496974,0.875,0.875,0.875,0,18
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.24145341372550808,0.78125,0.78125,0.78125,0,18
OMP,256,128,32,0.01,gaussian,compressible,0.20191467730224927,0.8125,0.8125,0.8125,0,19
CoSaMP,256,128,32,0.01,gaussian,compressible,0.18108527004365732,0.84375,0.84375,0.84375,0,19
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.23145699318953442,0.71875,0.71875,0.71875,0,19
OMP,256,128,32,0.01,coherent,sparse,0.016687155407204685,0.9375,0.9375,0.9375,0,0
CoSaMP,256,128,32,0.01,coherent,sparse,0.018236403580960577,0.9375,0.9375,0.9375,0,0
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.36491239459555846,0.625,0.625,0.625,0,0
OMP,256,128,32,0.01,coherent,sparse,0.011883605633094142,1.0,1.0,1.0,1,1
CoSaMP,256,128,32,0.01,coherent,sparse,0.018498975875519567,0.96875,0.96875,0.96875,0,1
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.38911123967291517,0.65625,0.65625,0.65625,0,1
OMP,256,128,32,0.01,coherent,sparse,0.03291531118074099,0.96875,0.96875,0.96875,0,2
CoSaMP,256,128,32,0.01,coherent,sparse,0.013447893395016302,1.0,1.0,1.0,1,2
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.3386844916465305,0.84375,0.84375,0.84375,0,2
OMP,256,128,32,0.01,coherent,sparse,0.016776033280033645,0.96875,0.96875,0.96875,0,3
CoSaMP,256,128,32,0.01,coherent,sparse,0.027348411901739693,0.875,0.875,0.875,0,3
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.2382559238259082,0.8125,0.8125,0.8125,0,3
OMP,256,128,32,0.01,coherent,sparse,0.023856401026631543,0.90625,0.90625,0.90625,0,4
CoSaMP,256,128,32,0.01,coherent,sparse,0.022187362350140665,0.90625,0.90625,0.90625,0,4
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.3422426382075602,0.59375,0.59375,0.59375,0,4
OMP,256,128,32,0.01,coherent,sparse,0.016980499498312436,0.9375,0.9375,0.9375,0,5
CoSaMP,256,128,32,0.01,coherent,sparse,0.031996240111590836,0.90625,0.90625,0.90625,0,5
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.33580791665293336,0.625,0.625,0.625,0,5
OMP,256,128,32,0.01,coherent,sparse,0.04302882020681875,0.96875,0.96875,0.96875,0,6
CoSaMP,256,128,32,0.01,coherent,sparse,0.010766729265956787,1.0,1.0,1.0,1,6
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.4500457723947398,0.65625,0.65625,0.65625,0,6
OMP,256,128,32,0.01,coherent,sparse,0.010166955195445375,1.0,1.0,1.0,1,7
CoSaMP,256,128,32,0.01,coherent,sparse,0.024219169938732788,0.9375,0.9375,0.9375,0,7
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.5000893496555995,0.6875,0.6875,0.6875,0,7
OMP,256,128,32,0.01,coherent,sparse,0.013393244885568865,0.96875,0.96875,0.96875,0,8
CoSaMP,256,128,32,0.01,coherent,sparse,0.01984347556589497,0.9375,0.9375,0.9375,0,8
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.3295482921106875,0.59375,0.59375,0.59375,0,8
OMP,256,128,32,0.01,coherent,sparse,0.024251188521530725,0.96875,0.96875,0.96875,0,9
CoSaMP,256,128,32,0.01,coherent,sparse,0.011708605877480486,1.0,1.0,1.0,1,9
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.44249158692922425,0.6875,0.6875,0.6875,0,9
OMP,256,128,32,0.01,coherent,sparse,0.010454032061344916,1.0,1.0,1.0,1,10
CoSaMP,256,128,32,0.01,coherent,sparse,0.013555745032347131,0.96875,0.96875,0.96875,0,10
ISTA_LASSO,256,128,32,0.01,coherent,sparse,0.4156019909441208,0.8125,0.8125,0.8125,0,10
OMP,256,128,32,0.01,coherent,sparse,0.029884398142092518,0.9375,0.9375,0.9375,0,11
CoSaMP,256,128,32,0.01,coherent,sparse,0.034777998479807094,0.90625,0.90625,0.90625,0,11
